,hoax,valid
-,0.0002390275953870705,9.77588716513672e-05
-1,0.0002390275953870705,9.77588716513672e-05
-157,0.0002390275953870705,9.77588716513672e-05
-19,0.0002390275953870705,9.77588716513672e-05
-236,0.0002390275953870705,9.77588716513672e-05
-6,0.0002390275953870705,9.77588716513672e-05
-avoid,0.00027500483338854136,9.77588716513672e-05
-bersihkan,0.0002390275953870705,9.77588716513672e-05
-clean,0.0002390275953870705,9.77588716513672e-05
-cover,0.0002390275953870705,9.77588716513672e-05
-cuci,0.0002390275953870705,9.77588716513672e-05
-hindari,0.00027500483338854136,9.77588716513672e-05
-if,0.0002390275953870705,9.77588716513672e-05
-jika,0.0002390275953870705,9.77588716513672e-05
-practice,0.0002390275953870705,9.77588716513672e-05
-praktek,0.0002390275953870705,9.77588716513672e-05
-red,0.00011951379769353526,0.0001955177433027344
-tutup,0.0002390275953870705,9.77588716513672e-05
-wash,0.0002390275953870705,9.77588716513672e-05
0,0.0002390275953870705,0.00025437444872138793
00,0.00032256415507913493,0.0002838028014307147
00-15,0.0002390275953870705,9.77588716513672e-05
000,0.00042356503126460195,0.00031323115414004147
000-an,0.00011951379769353526,0.0001955177433027344
002,0.0002390275953870705,9.77588716513672e-05
003,0.00011951379769353526,0.0001955177433027344
009,0.00011951379769353526,0.0001955177433027344
01,0.0002390275953870705,0.00022494609601206116
012,0.0002390275953870705,9.77588716513672e-05
016,0.00011951379769353526,0.0001955177433027344
019,0.00011951379769353526,0.00022494609601206116
02,0.00027500483338854136,9.77588716513672e-05
021-21281200,0.0002390275953870705,9.77588716513672e-05
021-29827793,0.0002390275953870705,9.77588716513672e-05
028,0.00011951379769353526,0.0001955177433027344
0293-316-825,0.0002390275953870705,9.77588716513672e-05
03,0.0002390275953870705,9.77588716513672e-05
0313,0.00011951379769353526,0.0001955177433027344
04,0.0002390275953870705,0.00022494609601206116
051,0.00011951379769353526,0.0002888034143072919
056,0.00011951379769353526,0.0001955177433027344
06,0.00011951379769353526,0.0001955177433027344
060,0.00011951379769353526,0.0001955177433027344
0600,0.00011951379769353526,0.0001955177433027344
067,0.00011951379769353526,0.00022494609601206116
068,0.00011951379769353526,0.0001955177433027344
07,0.00011951379769353526,0.00022494609601206116
072,0.00011951379769353526,0.00024216057880501314
073,0.00011951379769353526,0.0001955177433027344
075,0.00011951379769353526,0.0001955177433027344
076,0.00011951379769353526,0.0001955177433027344
077,0.00011951379769353526,0.0001955177433027344
081,0.00011951379769353526,0.0001955177433027344
0811-10-222-10,0.0002390275953870705,9.77588716513672e-05
082192769825,0.0002390275953870705,9.77588716513672e-05
083,0.00011951379769353526,0.0001955177433027344
087,0.00011951379769353526,0.0001955177433027344
09,0.0002390275953870705,0.00024216057880501314
095,0.00011951379769353526,0.0001955177433027344
1,0.00039705104468438905,0.00040217446015915935
1-1,0.0002390275953870705,9.77588716513672e-05
1-12,0.0002390275953870705,9.77588716513672e-05
1-2,0.0002390275953870705,0.00022494609601206116
1-4,0.00011951379769353526,0.0001955177433027344
10,0.0003721591958367283,0.0003510584240100709
10-12,0.00029605016849892197,9.77588716513672e-05
10-19,0.00011951379769353526,0.0001955177433027344
100,0.0003320274065003928,0.00033217878118681524
100mg,0.00027500483338854136,9.77588716513672e-05
101,0.00011951379769353526,0.0001955177433027344
102,0.00011951379769353526,0.00029327661495410156
103,0.0002390275953870705,9.77588716513672e-05
105,0.00011951379769353526,0.00024216057880501314
106,0.00011951379769353526,0.0001955177433027344
107,0.00011951379769353526,0.0002638482622447748
1077,0.00011951379769353526,0.0001955177433027344
108,0.00011951379769353526,0.0001955177433027344
109,0.00011951379769353526,0.00025437444872138793
